-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.039,  0.214
-183.800, 80.193, 0.113,  0.247
-183.799, 80.185, 0.234,  0.280
-183.799, 80.174, 0.347,  0.313
-183.798, 80.158, 0.497,  0.346
-183.796, 80.136, 0.703,  0.379
-183.794, 80.105, 0.938,  0.412
-183.792, 80.069, 1.063,  0.445
-183.789, 80.031, 1.123,  0.478
-183.786, 79.992, 1.177,  0.511
-183.784, 79.954, 1.154,  0.544
-183.781, 79.916, 1.145,  0.577
-183.778, 79.878, 1.155,  0.610
-183.775, 79.840, 1.195,  0.643
-183.772, 79.798, 1.271,  0.676
-183.768, 79.753, 1.369,  0.709
-183.765, 79.705, 1.455,  0.742
-183.761, 79.655, 1.521,  0.775
-183.756, 79.604, 1.568,  0.808
-183.752, 79.551, 1.603,  0.841
-183.747, 79.498, 1.591,  0.874
-183.743, 79.446, 1.574,  0.907
-183.738, 79.394, 1.568,  0.940
-183.734, 79.342, 1.581,  0.973
-183.729, 79.289, 1.617,  1.006
-183.724, 79.234, 1.661,  1.039
-183.718, 79.178, 1.692,  1.072
-183.713, 79.122, 1.701,  1.105
-183.707, 79.066, 1.704,  1.138
-183.702, 79.009, 1.713,  1.171
-183.696, 78.952, 1.733,  1.204
-183.690, 78.894, 1.756,  1.237
-183.684, 78.835, 1.770,  1.270
-183.677, 78.777, 1.779,  1.303
-183.671, 78.717, 1.787,  1.336
-183.665, 78.658, 1.799,  1.369
-183.658, 78.598, 1.811,  1.402
-183.651, 78.538, 1.821,  1.435
-183.644, 78.477, 1.829,  1.468
-183.637, 78.417, 1.836,  1.501
-183.630, 78.356, 1.845,  1.534
-183.623, 78.294, 1.853,  1.567
-183.616, 78.233, 1.860,  1.600
-183.608, 78.171, 1.866,  1.633
-183.601, 78.109, 1.872,  1.666
-183.593, 78.047, 1.879,  1.699
-183.585, 77.985, 1.885,  1.732
